id,товар,назва товару,марка,дата,час,шт,грам,літрів,вартість,сума,заповнив,is_interesting,why
86885627,ікра,ікра червона,Рибкоппродукт,21.11.2019,,1,100,,270.81,,Женя,,
86887184,алкоголь,віскі,Jack Daniels,,,1,,0.5,345.35,,Женя,,
86893453,алкоголь,пиво,,,,1,,0.5,36.80,,Женя,,
86893453,мʼясо та м'ясні продукти,курячі крильця,Наша ряба,,,1,456,,66.79,,Женя,,
86893453,ікра,ікра червона,Norven,,,1,120,,228.20,,Женя,,
86894225,солодощі,бісквіт,Kinder Pingui,02.06.2019,,1,30,,14.90,,Женя,,
86894225,солодощі,бісквіт,Kinder Milk Slice,02.06.2019,,2,28,,21.44,42.88,Женя,,
86894225,солодощі,вафлі,Kinder,02.06.2019,,1,35,,16.64,,Женя,,
86894225,напій безалкогольний,вода газована,Поляна Квасова,02.06.2019,,,,1.5,12.80,,Женя,,
86894225,молочна продукція,десерт сирковий,Дольче,02.06.2019,,2,400,,34.16,68.32,Женя,,
86894225,молочна продукція,десерт сирковий,Дольче,02.06.2019,,1,400,,24.72,,Женя,,
86894225,алкоголь,дивин,Pierre Monte,02.06.2019,,1,,0.5,138.72,,Женя,,
86894225,фрукти,ківі,,02.06.2019,,,1000,,33.52,,Женя,,
86894225,мʼясо та м'ясні продукти,курка,Ситний Ряд,02.06.2019,,1,2534,,260.19,,Женя,,
86894225,солодощі,молоко згущене,,02.06.2019,,1,370,,26.16,,Женя,,
86894225,напій безалкогольний,напій газований,Coca Cola,05.06.2019,,1,,2,18.88,,Женя,,
86894225,ковбаса та ковбасні вироби,ковбаса,,05.06.2019,,1,400,,46.16,,Женя,,
86894225,ковбаса та ковбасні вироби,ковбаса,,05.06.2019,,1,321,,80.51,,Женя,,
86894225,молочна продукція,йогурт,Растішка,05.06.2019,,1,115,,26.25,,Женя,,
86894225,молочна продукція,десерт сирковий,Машенька,05.06.2019,,1,140,,15.04,,Женя,,
86894225,молочна продукція,йогурт,Своя Лінія,05.06.2019,,2,185,,16.24,32.48,Женя,,
86894225,солодощі,бісквіт,Kinder Pingui,05.06.2019,,1,,,,,Женя,,
86896894,солодощі,подарунковий набір,,16.12.2019,,1,,,140.83,,Женя,,
86896894,одяг,карнавальна шапка,,16.12.2019,,1,,,62.42,,Женя,,
86896894,пакет подарунковий,,,16.12.2019,,1,,,15.75,,Женя,,
86896894,алкоголь,пиво,,16.12.2019,,1,,0.75,54.33,,Женя,,
86896894,кухня,серветки,,16.12.2019,,1,,,8.50,,Женя,,
86896894,снеки,чіпси,Pringles,16.12.2019,,,,,58.42,,Женя,,
86908086,NA,,,,,,,,,,Женя,,
86909178,кава,розчинна,Jacobs Monarch,07.02.2019,16:35,1,400,,238.32,,Женя,,
86909178,кава,розчинна,Jacobs Monarch,07.02.2019,17:35,1,400,,238.32,,Женя,,
86909178,кава,розчинна,Jacobs Monarch,07.02.2019,20:20,1,400,,238.32,,Женя,,
86909178,алкоголь,віскі,Jameson,14.02.2019,,1,,0.7,394.63,,Женя,,
86909178,алкоголь,віскі,Jameson,14.02.2019,,1,,0.7,394.63,,Женя,,
86909178,кава,розчинна,Jacobs Monarch,16.02.2019,,1,400,,238.32,,Женя,,
86910668,ікра,ікра червона,Рибкоппродукт,17.09.2019,,2,120,,183.90,367.80,Женя,,
86910668,ікра,ікра червона,Класичний Посол,17.09.2019,,1,80,,123.80,,Женя,,
86910738,алкоголь,віскі,Jack Daniels,16.12.2019,,1,,0.5,320.64,,Женя,,
86913665,алкоголь,коньяк,Astafian,10.03.2018,,1,,0.5,260,,Женя,,
86914496,майно АТБ,попільничка для урни,,22.09.2019,,1,,,506.67,,Женя,,
86916432,NA,,,,,,,,,,Женя,,
86922001,ікра,ікра червона,Парамушир,11.10.2015,,2,,,201.38,402.76,Женя,,
86923993,риба солона,сьомга,Norven,12.08.2018,,3,,,240.75,722.25,Женя,,
86936052,ікра,ікра червона,Камчадал,14.11.2019,,NA,100,,214.90,,Женя,,
86936478,NA,,,,,,,,,,Женя,,
86937187,NA,,,,,,,,,,Женя,,
86937238,NA,,,,,,,,,,Женя,,
86937773,алкоголь,ром,Captain Morgan,29.06.2019,,1,,0.7,285.25,,Женя,,
86941565,алкоголь,віскі,Speymhor,,,1,,0.7,381.60,,Женя,,
86944258,алкоголь,лікер,Sheridans,11.02.2019,,1,,0.5,565.37,,Женя,yes,велике пограбування
86944258,алкоголь,лікер,Amaretto,11.02.2019,,1,,0.7,133.87,,Женя,yes,велике пограбування
86944258,побутова хімія,порошок,Savex,12.02.2019,,44,400,,,810.48,Женя,yes,велике пограбування
86944258,одяг,колготки,Своя Лінія,12.02.2019,,24,,,,589.92,Женя,yes,велике пограбування
86944258,дитячі товари,підгузки,Pampers,12.02.2019,,6,,,,1384.02,Женя,yes,велике пограбування
86944258,побутова хімія,засіб миючий,Gala,12.02.2019,,22,400,,,344.96,Женя,yes,велике пограбування
